"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Sangareddy","tb",4.6,1.9,46.2,5.5,1.9,54.7,0
"Siddipet","epi",5,1.6,49.6,5.5,1.5,55.3,4.1e-05
"Siddipet","hrt",7.4,2,73.7,7.8,1.7,78.3,0.005495
"Siddipet","jau",4.2,1.6,42.3,7.4,1.7,74.3,0
"Siddipet","lscs",7.7,2.1,76.7,8.4,1.7,83.5,6.7e-05
"Siddipet","sob",6.2,1.7,62.4,7.2,1.6,72.4,0
"Siddipet","tb",5.5,2,55.4,6.4,1.9,64.3,0
"Suryapet","epi",4.9,1.7,49.3,6.4,1.5,64,0
"Suryapet","hrt",6.9,2.1,69.2,7.4,1.8,73.6,0.007397
"Suryapet","jau",4.1,1.5,40.6,6.2,1.9,62.5,0
"Suryapet","lscs",7.6,2.1,75.9,7.8,1.8,78,0.206386
"Suryapet","sob",6.4,1.6,64.5,6.9,1.7,68.7,0.002059
"Suryapet","tb",5.3,1.7,52.9,6.5,1.8,64.8,0
"Vikarabad","epi",4.7,1.5,47.5,4.8,1.4,47.7,0.91864
"Vikarabad","hrt",6.8,2.1,68,6.9,1.9,69.4,0.654075
"Vikarabad","jau",3.4,1.4,33.8,4.4,1.6,44,1.9e-05
"Vikarabad","lscs",7.7,1.9,76.6,7.6,1.8,75.7,0.776459
"Vikarabad","sob",6.4,1.6,63.6,6.5,1.7,65.1,0.550865
"Vikarabad","tb",5.1,1.9,50.9,4.9,1.8,48.5,0.384848
"Wanaparthy","epi",5.1,1.4,50.5,6.3,1.3,62.6,0
"Wanaparthy","hrt",7.4,1.7,74.3,7.7,1.2,77.1,0.1249
"Wanaparthy","jau",4.7,1.8,46.7,7.5,1.4,75.2,0
"Wanaparthy","lscs",7.9,1.5,79.1,8.2,1.4,82.2,0.103107
"Wanaparthy","sob",6.1,1.6,61.1,7.3,1.2,72.8,0
"Wanaparthy","tb",6.1,1.7,60.6,6.3,1.5,63.3,0.190534
"Warangal Rural","epi",5.2,1.5,52.2,5.6,1.6,56.2,0.018107
"Warangal Rural","hrt",7.4,1.7,73.6,7.3,1.8,73.5,0.924642
"Warangal Rural","jau",3.7,1.4,37.2,6.1,2,61.4,0
"Warangal Rural","lscs",7.7,1.8,77.4,7.7,2,77.3,0.952806
"Warangal Rural","sob",6.2,1.6,61.9,7,1.6,69.9,8e-06
"Warangal Rural","tb",5.5,1.8,55.2,5.8,2,57.7,0.232004
"Warangal Urban","epi",5.1,1.7,50.9,6.4,1.6,64.3,0
"Warangal Urban","hrt",7.2,2.2,72.1,7.4,2,73.7,0.441133
"Warangal Urban","jau",3.8,1.5,38.1,6.9,1.7,69.4,0
"Warangal Urban","lscs",7.2,2.2,72.1,7.9,2,78.9,0.000994
"Warangal Urban","sob",6.2,1.7,62,7.4,1.6,73.6,0
"Warangal Urban","tb",5.4,2,54.1,6.2,1.7,62,2.6e-05
"Yadadri Bhuvanagiri","epi",4.9,1.5,49.2,6,1.6,60.1,0
"Yadadri Bhuvanagiri","hrt",7.2,2.2,72,7.8,1.7,78,0.010555
"Yadadri Bhuvanagiri","jau",4,1.6,40,6.9,1.9,68.6,0
"Yadadri Bhuvanagiri","lscs",7.9,2,78.7,8.2,2.1,82.4,0.138337
"Yadadri Bhuvanagiri","sob",6.5,1.8,65.1,7.3,1.5,73,7e-05
"Yadadri Bhuvanagiri","tb",5.3,1.8,53.3,6.3,1.9,62.7,3.1e-05
"Overall Average","epi",5,1.7,49.7,5.8,1.7,58.4,NA
"Overall Average","hrt",7,2.1,70.5,7.4,1.9,74.4,NA
"Overall Average","jau",4,1.6,40.1,6.5,1.9,65,NA
"Overall Average","lscs",7.5,2,74.8,7.9,1.9,79.4,NA
"Overall Average","sob",6.1,1.7,61.5,6.8,1.7,67.9,NA
"Overall Average","tb",5.4,1.9,53.7,6,1.9,60.4,NA
