"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Mulugu","qanc",6.5,2,65.4,7.1,1.6,70.9,0.159091
"Mulugu","sob",6,1.4,59.9,6.2,1.4,62,0.315141
"Mulugu","tb",5.4,1.5,53.7,5.8,1.5,58.2,0.036865
"Nagarkurnool","ane",6.2,1.9,62,6.9,1.9,69.4,0.000136
"Nagarkurnool","aph",6.6,2,66.1,7.3,2,73.3,0.000306
"Nagarkurnool","epi",4.5,1.9,44.7,5.3,1.7,53.1,0.02967
"Nagarkurnool","gdm",4.2,1.5,42.4,6,1.7,59.9,0
"Nagarkurnool","hrt",6.5,2.4,65.3,7.4,1.7,74.2,0.04422
"Nagarkurnool","htn",6.6,2,65.7,7,1.9,69.8,0.045889
"Nagarkurnool","jau",3.9,1.6,39.1,5.1,2.2,50.9,0.005126
"Nagarkurnool","lscs",7.2,2.5,71.8,7.9,2.1,78.7,0.157373
"Nagarkurnool","qanc",6.4,1.8,64.3,7.5,1.6,75.3,0
"Nagarkurnool","sob",5.6,2,55.6,6.2,1.7,61.6,0.123775
"Nagarkurnool","tb",5,2.3,50,5.7,2.1,56.7,0.153244
"Nalgonda","ane",7.2,1.7,71.8,7.7,1.7,76.6,0.000107
"Nalgonda","aph",6.5,2.1,65.1,8.3,1.8,83.3,0
"Nalgonda","epi",5.1,1.7,50.9,6.1,1.7,60.9,0
"Nalgonda","gdm",4.7,1.7,47.3,7,2.2,69.9,0
"Nalgonda","hrt",7.3,2,72.9,7.7,1.8,77.4,0.001061
"Nalgonda","htn",7.3,1.7,73.2,8.5,1.6,85,0
"Nalgonda","jau",4,1.5,40.3,7.3,1.5,73.4,0
"Nalgonda","lscs",7.5,2,74.7,8.2,1.7,82.3,0
"Nalgonda","qanc",7.4,1.7,74,8.4,1.4,84.1,0
"Nalgonda","sob",6.4,1.5,63.9,7.2,1.5,71.5,0
"Nalgonda","tb",5.6,1.9,55.7,6.4,1.8,63.8,0
"Narayanpet","ane",6.7,1.9,67.1,7.1,1.8,70.5,0.250566
"Narayanpet","aph",7,2.2,69.5,7,2.7,70.5,0.854667
"Narayanpet","gdm",4.9,1.6,48.6,5.5,1.8,55.1,0.00811
"Narayanpet","htn",6.9,1.9,69.1,6.8,1.8,68.4,0.794554
"Narayanpet","qanc",6.7,1.6,66.8,7.4,1.5,73.7,0.001496
"Nirmal","ane",5.9,1.7,58.6,6.2,1.7,61.7,0.162026
"Nirmal","aph",5.7,2.2,57.2,7.5,1.4,74.9,0
"Nirmal","epi",5.1,1.5,50.9,5.1,1.6,50.9,1
"Nirmal","gdm",4.1,1.5,41.3,5.7,1.5,57.4,0
"Nirmal","hrt",7.4,1.6,74,7.5,1.6,75.1,0.652797
"Nirmal","htn",6.5,2.1,64.6,7.4,2,74,0.000152
"Nirmal","jau",4,1.7,40.1,5.7,1.7,57,0
"Nirmal","lscs",7.9,1.5,79.2,7.9,1.7,79.5,0.925497
"Nirmal","qanc",6.5,1.6,64.6,7,1.6,69.8,0.00842
"Nirmal","sob",4.5,1.3,44.9,4.8,1.3,48.2,0.093343
"Nirmal","tb",5.8,1.8,57.7,6.3,1.7,63,0.040128
"Nizamabad","ane",6.2,1.8,62.1,6.9,1.7,69.3,0
"Nizamabad","aph",6.8,2.1,67.6,7.6,1.7,76.1,0
"Nizamabad","epi",5.1,1.7,50.9,5.6,1.8,56.5,0.000181
"Nizamabad","gdm",4.5,1.5,45.4,6.4,1.7,63.7,0
"Nizamabad","hrt",7.7,1.6,77.4,7.9,1.5,78.5,0.447601
"Nizamabad","htn",6.9,1.8,69,7.5,1.9,75.2,1e-05
"Nizamabad","jau",4.7,1.7,46.7,7.4,1.6,73.8,0
"Nizamabad","lscs",7.6,1.7,76.5,8,1.7,80.2,0.00965
"Nizamabad","qanc",6.8,1.8,68.4,7.8,1.5,78.2,0
"Nizamabad","sob",6.6,1.4,66.3,7.5,1.1,74.6,0
"Nizamabad","tb",6,1.7,59.7,6.6,1.7,66.1,9.1e-05
"Peddapalli","ane",6.6,1.9,66.5,7.6,1.7,75.7,1e-05
"Peddapalli","aph",5.8,2.2,57.7,7.5,1.9,75,0
"Peddapalli","epi",4.9,1.7,48.6,5.7,1.6,57.5,3e-06
"Peddapalli","gdm",5,1.4,49.8,5.7,1.6,57.1,0.000286
"Peddapalli","hrt",6.6,2,66.5,7.1,1.9,71.3,0.034136
"Peddapalli","htn",7,1.9,69.6,7.7,1.6,77.1,0.000157
"Peddapalli","jau",4.3,1.6,43,6.5,1.8,64.9,0
"Peddapalli","lscs",7.5,1.9,75.3,7.7,2.1,77.3,0.390465
